name,kind,released,venue,status,scope,year,url,paper,code,license,scale,tasks,modalities
EgoVLA,model,2025,project page,watch,,,https://rchalyang.github.io/EgoVLA/,,,,VLA training from egocentric human videos plus robot fine-tuning,robot-learning; manipulation; vla,
EgoEngine,model,2026-06,arXiv,watch,,2026,https://egoengine.github.io/,https://arxiv.org/abs/2606.12604,,,Framework converting egocentric human manipulation videos into high-fidelity robot observation videos and executable robot action trajectories,robot-learning; manipulation; vla,
EgoAERO,model,2026-06,arXiv,watch,,2026,https://arxiv.org/abs/2606.08057,,,,Asset-free conversion from a single egocentric RGB-D demonstration; introduces EgoDex-R in the paper,robot-learning; manipulation; vla,
HRDexDB,dataset,2026-04,arXiv,watch,,2026,https://arxiv.org/abs/2604.14944,,,,"1.4K human/robot grasping trials, tactile, multiview video, egocentric video streams",robot-learning; manipulation; vla,
UnrealEgo2 / UnrealEgo-RW,dataset,2024-01,arXiv,watch,,2024,https://arxiv.org/abs/2401.00889,,,,Expanded stereo egocentric pose datasets from synthetic and real-world capture,hand-object; 3d; pose,
TouchMoment,dataset,2026-04,CVPR 2026 Findings,watch,,2026,https://arxiv.org/abs/2604.12343,,,,"4,021 egocentric videos, 8,456 annotated hand-object contact moments",hand-object; 3d; pose,
EgoFun3D,dataset,2026-04,arXiv,watch,,2026,https://arxiv.org/abs/2604.11038,,,,"271 egocentric videos with 3D geometry, part segmentation, articulation and function-template annotations",hand-object; 3d; pose,
EgoEMG,dataset,2026-05,arXiv,watch,,2026,https://arxiv.org/abs/2605.05712,,,,"41 participants, bilateral EMG, IMU, RGB, external RGB-D, mocap hand labels",hand-object; 3d; pose,
EgoEVHands,dataset,2024,GitHub,watch,,,https://github.com/ZJUWang01/EgoEV-HandPose,,,,"Stereo event-camera egocentric hand dataset with 5,419 sequences and 3D/2D keypoints",hand-object; 3d; pose,
EventEgoHands,benchmark,2025-05,arXiv,watch,,2025,https://arxiv.org/abs/2505.19169,,,,Event-based egocentric 3D hand mesh reconstruction benchmark over N-HOT3D,hand-object; 3d; pose,
A multimodal RGB/events FPV hand dataset,dataset,2026-06,arXiv,watch,,2026,https://arxiv.org/abs/2606.10790,,,,Synthetic event-based first-person hand detection from EgoHands plus v2e,hand-object; 3d; pose,
EgoExoMem,dataset,2026-05,arXiv,watch,,2026,https://arxiv.org/abs/2605.18734,,,,2.6K MCQs across synchronized ego-exo videos,memory; qa; assistant,
EgoSelf,model,2025,project page,watch,,,https://abie-e.github.io/egoself_project/,,,,Personalized egocentric assistant framework with graph memory,memory; qa; assistant,
EgoCross,dataset,2025,GitHub,watch,,,https://github.com/MyUniverse0726/EgoCross,,,,"About 1,000 QA pairs over surgery, industry, extreme sports, and animal-perspective clips",memory; qa; assistant,
ADL Dataset,dataset,2012,project page,partial,,,https://www.csc.kth.se/cvap/actions/,,,,Unscripted daily activity recordings with activity/object/hand annotations in classic literature,action-recognition; procedure,
Wrist-mounted ADL,dataset,2015-11,CVPR 2016,open,,2015,https://arxiv.org/abs/1511.06783,,,,Synchronized head and wrist wearable-camera daily activities,action-recognition; procedure,
Visual Experience Dataset / VEDB,dataset,2023,project page,partial,,,http://tamaraberg.com/visualexperience/,,,,240+ hours egocentric video with gaze/head tracking in classic literature,action-recognition; procedure,
UT Ego,dataset,2012,project page,partial,,,http://vision.cs.utexas.edu/projects/egocentric/,,,,Long daily egocentric videos in classic summarization work,action-recognition; procedure,
HUJI EgoSeg,dataset,2014,project page,partial,,,https://www.vision.huji.ac.il/egoseg/,,,,Long egocentric videos for temporal segmentation,action-recognition; procedure,
JPL First-Person Interaction,dataset,2013,IEEE,partial,,,https://ieeexplore.ieee.org/document/6909626,,,,First-person videos of people interacting with a humanoid observer,action-recognition; procedure,
FT-HID,dataset,2022,GitHub,open,,,https://github.com/ENDLICHERE/FT-HID,,,,90K+ RGB-D first- and third-person human interaction samples from 109 subjects,action-recognition; procedure,
LSC-ADL,dataset,2025-04,arXiv,open,,2025,https://arxiv.org/abs/2504.02060,,,,ADL annotations over lifelogging data generated with clustering plus human review,action-recognition; procedure,
SEED4D,dataset,2024-12,WACV 2025,open,adjacent,2024,https://seed4d.github.io/,https://arxiv.org/abs/2412.00730,,,"Synthetic ego-exo dynamic 4D generator and autonomous-driving dataset (16.8M images, vehicle inward/outward cameras, LiDAR; WACV 2025)",driving; 4d-reconstruction; multi-view,
Ego4D Benchmarks,benchmark,2021,project page,benchmark,,,https://ego4d-data.org/,,,,"Derived benchmark suite built on Ego4D; tasks: Natural Language Query, Moment Query, episodic memory, state change, long-term anticipation, social/audio, hand-object",benchmark; evaluation,
Ego-Exo4D Benchmarks,benchmark,2023,project page,benchmark,,,https://ego-exo4d-data.org/,,,,"Derived benchmark suite built on Ego-Exo4D; tasks: Fine-grained activity, proficiency, cross-view translation, 3D pose, object correspondence",benchmark; evaluation,
EPIC-KITCHENS Challenges,benchmark,2018,project page,benchmark,,,https://epic-kitchens.github.io/,,,,"Derived benchmark suite built on EPIC-KITCHENS / EPIC-KITCHENS-100; tasks: Recognition, detection, anticipation, retrieval, domain adaptation",benchmark; evaluation,
HD-EPIC VQA Challenge,benchmark,2025-02,arXiv,benchmark,,2025,https://arxiv.org/abs/2502.04144,,,,"Derived benchmark suite built on HD-EPIC; tasks: Recipe, ingredient, nutrition, fine-grained action, 3D perception, object motion, gaze",benchmark; evaluation,
EgoEnv,model,2022,project page,open,,,https://vision.cs.utexas.edu/projects/ego-env/,,,,Environment-aware representation learning from egocentric video,video-language; representation-learning,
EgoMAS,model,2026,project page,open,,,https://ma-egoqa.github.io/,,,,Shared-memory baseline for multi-agent egocentric video QA,video-language; representation-learning,
Ego-Exo representation transfer,model,2021-04,CVPR 2021,open,,2021,https://arxiv.org/abs/2104.07905,,,,Distillation from third-person video using ego-specific latent signals,action; tracking; pose; hoi,
EgoPoseFormer,model,2024,GitHub,open,,,https://github.com/ChenhongyiYang/egoposeformer,,,,Transformer baseline for stereo egocentric 3D human pose estimation,action; tracking; pose; hoi,
EgoSTARK,model,2023-01,arXiv,open,,2023,https://arxiv.org/abs/2301.03213,,,,Adapted long-term tracker baseline for EgoTracks,action; tracking; pose; hoi,
EgoHOS model,model,2022,GitHub,open,,,https://github.com/owenzlz/EgoHOS,,,,Context-aware hand-object segmentation and augmentation pipeline,action; tracking; pose; hoi,
AV-CONV,model,2023,project page,open,,,https://vjwq.github.io/AV-CONV/,,,,Audio-visual conversational graph prediction from ego/exo conversation,action; tracking; pose; hoi,
EgoAction,model,2026-05,CVPR 2026,watch,,2026,https://arxiv.org/abs/2605.24496,,,,CVPR 2026 EPIC-KITCHENS action detection challenge pipeline,action; tracking; pose; hoi,
EgoAdapt,model,2026-05,CVPR 2026,watch,,2026,https://arxiv.org/abs/2605.24500,,,,CVPR 2026 HD-EPIC VQA challenge inference-time adaptation pipeline,action; tracking; pose; hoi,
Ego4D CLI and docs,toolkit,2021,project page,open,,,https://ego4d-data.org/,,,,Downloading and working with Ego4D data after license approval.,tooling,
Ego-Exo4D CLI and docs,toolkit,2023,project page,open,,,https://ego-exo4d-data.org/,,,,Downloading synchronized ego-exo data and annotations.,tooling,
VISOR API,toolkit,2022,GitHub,open,,,https://github.com/epic-kitchens/VISOR,,,,Loading dense EPIC-KITCHENS hand/object masks and relations.,tooling,
EgoObjects API,toolkit,2023,GitHub,open,,,https://github.com/facebookresearch/EgoObjects,,,,Working with category and instance-level egocentric object labels.,tooling,
HOT3D tooling,toolkit,2024,project page,open,,,https://facebookresearch.github.io/hot3d/,,,,Loading HOT3D hand/object/camera pose annotations and models.,tooling,
HOI4D tooling,toolkit,2022,project page,open,,,https://hoi4d.github.io/,,,,"Loading RGB-D frames, point clouds, object meshes, and pose/segmentation annotations.",tooling,
EgoVid-5M,dataset,2024-11,NeurIPS 2025,open,,2024,https://egovid.github.io/,https://arxiv.org/abs/2411.08380,,,5M curated egocentric clips at 1080p with fine-grained kinematic and high-level textual action annotations (NeurIPS 2025),video-generation; world-modeling; action-conditioned-generation,
AoE,dataset,2026-02,arXiv,watch,,2026,https://arxiv.org/abs/2602.23893,,,,Always-on egocentric human video collection pipeline and corpus for embodied AI data scaling,robot-learning; data-collection; embodied-ai,
Seeing Across Views (MV-RoboBench),benchmark,2025-10,ICLR 2026,open,adjacent,2025,https://github.com/microsoft/MV-RoboBench,https://arxiv.org/abs/2510.19400,,,MV-RoboBench: 1.7K curated QA items over eight subtasks testing multi-view spatial reasoning of VLMs in robotic manipulation scenes (ICLR 2026),multi-view; robot-manipulation; vlm-evaluation,
EgoGesture,dataset,2017,IEEE TMM 2018,open,,2017,https://ieeexplore.ieee.org/document/8299578/,,,,"24K+ gesture samples, 3M RGB-D frames, 50 subjects, 83 static and dynamic gestures across six indoor/outdoor scenes",gesture-recognition; hand; wearable-interaction,
EgoBrain,dataset,2025-06,arXiv,watch,,2025,https://arxiv.org/abs/2506.01353,,,,Synchronized EEG and egocentric video for human action understanding from minds and eyes,eeg; action-understanding; multimodal,
MM-Ego,model,2024-10,ICLR 2025,open,,2024,https://arxiv.org/abs/2410.07177,,,,"Egocentric multimodal LLM with Memory Pointer Prompting; 7M-sample QA data engine and the EgoMemoria benchmark (629 videos, 7,026 questions)",video-language; memory; qa,
EgoStream,benchmark,2026-05,arXiv,watch,,2026,https://arxiv.org/abs/2605.31557,,,,"2,250 questions across seven memory dimensions with Answer Validity Windows, expanded to 8,528 recall-conditioned evaluations over streams up to 45.3 hours",streaming-memory; episodic-memory; qa,
EgoMemory,benchmark,2026,OpenReview,watch,,2026,https://openreview.net/forum?id=T0em4hJCQb,,,,"165,795 user-specific object annotations over 245 videos from 45 participants for memory-augmented personalized retrieval",personalized-retrieval; episodic-memory; long-context,
EgoTextVQA,benchmark,2025,CVPR 2025,open,,2025,https://openaccess.thecvf.com/content/CVPR2025/papers/Zhou_EgoTextVQA_Towards_Egocentric_Scene-Text_Aware_Video_Question_Answering_CVPR_2025_paper.pdf,,,,Egocentric scene-text-aware video QA across indoor housekeeping and outdoor driving scenes (CVPR 2025),scene-text; qa; reading,
Gesture-Based Egocentric Video QA,benchmark,2026-03,CVPR 2026,watch,,2026,https://arxiv.org/abs/2603.12533,,,,Egocentric video QA grounded in the camera wearer's pointing and deictic gestures,gesture-grounding; qa; referential,
EgoVQA,benchmark,2019,ICCV 2019,open,,2019,https://openaccess.thecvf.com/content_ICCVW_2019/html/EPIC/Fan_EgoVQA_-_An_Egocentric_Video_Question_Answering_Benchmark_Dataset_ICCVW_2019_paper.html,,,,600+ QA pairs over egocentric videos; an early first-person video question answering benchmark,qa; action; classic,
ExAct,benchmark,2025-06,arXiv,open,,2025,https://arxiv.org/abs/2506.06277,,,,Video-language benchmark for expert action analysis and feedback over skilled egocentric/exocentric activity,expert-feedback; skill-assessment; video-language,
Home Action Genome / HOMAGE,dataset,2021-05,CVPR 2021,open,,2021,https://homeactiongenome.org/,https://arxiv.org/abs/2105.05226,,,"27 participants, multi-modal synchronized ego and third-person views with 12 sensor types and hierarchical activity/action labels in home settings",action-recognition; multi-view; compositional,
EgoExo-Fitness,dataset,2024-06,ECCV 2024,open,,2024,https://github.com/iSEE-Laboratory/EgoExo-Fitness,https://arxiv.org/abs/2406.08877,,,"Synchronized ego and exo fitness videos with keypoint verification, execution comments, and action quality scores (ECCV 2024)",ego-exo; action-quality; skill-assessment,
WEAR,dataset,2023-04,IMWUT 2024,open,,2023,https://mariusbock.github.io/wear/,https://arxiv.org/abs/2304.05088,,,"22 participants, 18 outdoor workout activities, synchronized egocentric video and 3D acceleration across 11 locations (IMWUT 2024)",action-recognition; sensor-fusion; imu,
Egocentric HOI Detection,benchmark,2025-06,arXiv,open,,2025,https://arxiv.org/abs/2506.14189,,,,New benchmark and method for detecting hand-object interactions in egocentric video,hand-object; detection; interaction,
SHOW3D,dataset,2026-03,CVPR 2026,watch,,2026,https://arxiv.org/abs/2603.28760,https://arxiv.org/abs/2603.28760,,,"In-the-wild 3D hand-object interaction dataset captured with a back-mounted multi-camera rig synchronized to a worn VR headset, with multi-view 3D shape/pose annotations and text descriptions",hand-object; 3d-hand-object-tracking; 3d-reconstruction,multiview-video; 3d-hand-pose; object-pose; text
EgoTouch / TouchAnything,dataset,2026-05,arXiv,watch,,2026,https://jianyi2004.github.io/TouchAnything-Website/,https://arxiv.org/abs/2605.13083,,,"EgoTouch: 302 manipulation tasks across 4,530 episodes with synchronized egocentric and dual wrist-camera video, bimanual 3D hand pose (42 joints), and dense tactile pressure maps; TouchAnything is the accompanying tactile-estimation framework",hand-object; contact-understanding; bimanual-manipulation,egocentric-video; wrist-camera-video; 3d-hand-pose; contact
EgoEverything,benchmark,2026-04,arXiv,watch,,2026,https://arxiv.org/abs/2604.08342,https://arxiv.org/abs/2604.08342,,,"5,000+ MCQ QA pairs over 100+ hours of egocentric video, with questions generated using human attention/gaze signals for AR long-context understanding",long-context; video-qa; gaze-reasoning,egocentric-video; gaze; qa
EgoNight,benchmark,2025-10,ICLR 2026,open,,2025,https://insait-institute.github.io/EgoNight/,https://arxiv.org/abs/2510.06218,https://github.com/dehezhang2/EgoNight,,"Nighttime egocentric benchmark: EgoNight-VQA (3,658 QA over 90 videos, 12 QA types) plus day-night correspondence retrieval and egocentric depth estimation, with day-night aligned synthetic and real video",egocentric-vqa; egocentric-depth; retrieval,egocentric-video; qa; depth; synthetic-rendering
EgoIntent,benchmark,2026-03,arXiv,watch,,2026,https://arxiv.org/abs/2603.12147,https://arxiv.org/abs/2603.12147,,,"3,014 steps across 15 indoor/outdoor daily-life scenarios, evaluating local intent (What), global intent (Why), and next-step plan (Next), with future-frame leakage removed",intent; next-action; anticipation,egocentric-video; qa
EgoMAGIC,dataset,2026-04,arXiv,open,,2026,https://arxiv.org/abs/2604.22036,https://arxiv.org/abs/2604.22036,,,"3,355 egocentric field-medicine videos over 50 medical tasks from a head-mounted stereo camera with audio; 1.95M labels for 124 medical objects and an action-detection challenge",action-detection; object-detection; procedural-task-assistance,egocentric-video; stereo; audio; object-boxes
Audio Hallucination in Egocentric Video,benchmark,2026-04,ICASSP 2026,watch,,2026,https://arxiv.org/abs/2604.23860,https://arxiv.org/abs/2604.23860,,,"300 egocentric videos and 1,000 sound-focused questions probing audio hallucination in audio-visual LLMs that infer sounds from visual cues",audio-visual-reasoning; sound-understanding; evaluation,egocentric-video; audio; qa
Ego2World,benchmark,2026-05,arXiv,watch,,2026,https://arxiv.org/abs/2605.13335,https://arxiv.org/abs/2605.13335,,,Compiles egocentric cooking videos (built on HD-EPIC) into executable symbolic worlds with graph-transition rules for belief-state planning under partial observability,planning; belief-reasoning; embodied-reasoning,egocentric-video; annotations
EgoCrowds / CrowdEraser,dataset,2026-03,arXiv,watch,,2026,https://arxiv.org/abs/2603.29036,https://arxiv.org/abs/2603.29036,,,EgoCrowds: semi-synthetic paired crowded/empty clips from real egocentric walking-tour footage; CrowdEraser is a video-diffusion framework that removes crowds to produce humanless environment walkthroughs,video-generation; scene-understanding; scene-reconstruction,egocentric-video; first-person-video
EgoPressure,dataset,2024-09,CVPR 2025,open,,2025,https://yiming-zhao.github.io/EgoPressure/,https://arxiv.org/abs/2409.02224,,,"5.0 hours, 21 participants, a moving egocentric camera plus 7 stationary RGB-D cameras, with hand pose meshes and fine-grained per-contact touch pressure (CVPR 2025)",hand-object; contact-understanding; 3d-hand-pose,egocentric-video; rgbd; 3d-hand-pose; contact
EgoTL,benchmark,2026-04,arXiv,watch,,2026,https://arxiv.org/abs/2604.09535,https://arxiv.org/abs/2604.09535,,,Think-aloud (say-before-act) egocentric capture with word-level spoken reasoning and metric-scale spatial annotations over 100+ household tasks; benchmarks VLMs and world models on six task dimensions,long-context; planning; embodied-reasoning,egocentric-video; speech; annotations
SuperMemory-VQA,benchmark,2026-06,arXiv,watch,,2026,https://arxiv.org/abs/2606.00825,https://arxiv.org/abs/2606.00825,,,"52.9 hours of AI-glasses daily activities with RGB, audio transcription, gaze, IMU, and SLAM; 4,853 human-verified QA pairs across object/location memory, intent recall, and scene recall",episodic-memory; long-context; qa,egocentric-video; audio; gaze; imu; point-clouds
EgoAVU,benchmark,2026-02,CVPR 2026,open,,2026,https://github.com/facebookresearch/EgoAVU,https://arxiv.org/abs/2602.06139,https://github.com/facebookresearch/EgoAVU,,Scalable audio-visual data engine producing EgoAVU-Instruct (3M QAs) and the human-verified EgoAVU-Bench (3K QAs) for egocentric audio-visual understanding (CVPR 2026 highlight),audio-visual-reasoning; sound-understanding; evaluation,egocentric-video; audio; qa
EgoScale,dataset,2026-02,arXiv,watch,,2026,https://arxiv.org/abs/2602.16710,https://arxiv.org/abs/2602.16710,,,"20,854 hours of action-labeled egocentric human video for VLA pretraining with a human-to-robot two-stage transfer recipe; reveals a log-linear human-data scaling law",vla; robot-learning; dexterous-manipulation,egocentric-video; action-labels
StableHand,model,2026-05,arXiv,watch,,2026,https://huajian-zeng.github.io/projects/stablehand/,https://arxiv.org/abs/2605.18553,,,"Quality-aware flow-matching baseline for world-space dual-hand motion estimation from egocentric video, evaluated on HOT3D and ARCTIC",3d-hand-pose; pose; hand-object,egocentric-video; 3d-hand-pose
EgoVideo,model,2024-06,CVPR 2024,open,,2024,https://github.com/OpenGVLab/EgoVideo,https://arxiv.org/abs/2406.18070,https://github.com/OpenGVLab/EgoVideo,,Egocentric video foundation model with a slow-fast adaptation recipe; winner of multiple Ego4D / EPIC-KITCHENS challenge tracks (CVPR 2024 EgoVis),foundation-video; video-language; representation-learning,egocentric-video; text
EgoHOD,model,2025-03,ICLR 2025,open,,2025,https://github.com/InternRobotics/EgoHOD,https://arxiv.org/abs/2503.00986,https://github.com/InternRobotics/EgoHOD,,Fine-grained hand-object-dynamics pretraining (HOD pipeline) for egocentric video representation learning; SOTA on EK-100 retrieval/classification and EGTEA (ICLR 2025),video-language-pretraining; hand-object; representation-learning,egocentric-video; hand; text
EgoM2P,model,2025-06,ICCV 2025,watch,,2025,https://arxiv.org/abs/2506.07886,https://arxiv.org/abs/2506.07886,,,"Egocentric multimodal, multitask pretraining framework over RGB, depth, gaze, and camera pose with a masked modeling objective",multimodal; representation-learning; standardized-pretraining,egocentric-video; depth; gaze; camera-pose
AlanaVLM,model,2024-06,arXiv,watch,,2024,https://arxiv.org/abs/2406.13807,https://arxiv.org/abs/2406.13807,,,Multimodal embodied-AI foundation model trained for egocentric video understanding with an egocentric video instruction dataset,video-language; embodied-ai; video-qa,egocentric-video; text
Vinci,model,2024-12,IMWUT 2025,open,,2025,https://github.com/OpenGVLab/vinci,https://arxiv.org/abs/2412.21080,https://github.com/OpenGVLab/vinci,,"Real-time, always-on embodied smart assistant built on an egocentric vision-language model for portable devices, with historical-context QA, task planning, and step-by-step visual demonstrations",real-time-understanding; streaming-assistant; task-assistance,egocentric-video; audio; text
AMEGO,model,2024-09,ECCV 2024,open,,2024,https://gabrielegoletto.github.io/AMEGO/,https://arxiv.org/abs/2409.10917,https://github.com/gabrielegoletto/AMEGO,,"Active-memory representation from a single long egocentric video, capturing key locations and object interactions for fast multi-query answering; introduces the Active Memories Benchmark (20K+ queries over EPIC-KITCHENS, ECCV 2024)",long-context; memory; episodic-memory,egocentric-video
EgoInstructor,model,2024-01,CVPR 2024,open,,2024,https://jazzcharles.github.io/Egoinstructor/,https://arxiv.org/abs/2401.00789,,,"Retrieval-augmented egocentric video captioning that retrieves relevant third-person instructional clips, trained with an EgoExoNCE cross-view objective (CVPR 2024)",captioning; video-language; cross-view,egocentric-video; exocentric-video; text
GroundNLQ,model,2023-06,CVPR 2023,open,,2023,https://github.com/houzhijian/GroundNLQ,https://arxiv.org/abs/2306.15255,https://github.com/houzhijian/GroundNLQ,,Two-stage pretrained multi-scale grounding model for Ego4D Natural Language Queries; champion of the CVPR 2023 Ego4D NLQ challenge,natural-language-query; temporal-grounding; ego4d,egocentric-video; text
OSGNet,model,2025-05,CVPR 2025,open,,2025,https://github.com/Yisen-Feng/OSGNet,https://arxiv.org/abs/2505.04270,https://github.com/Yisen-Feng/OSGNet,,Object-shot enhanced grounding network for egocentric video temporal grounding; top entry on Ego4D NLQ / Goal-Step moment queries (CVPR 2025),natural-language-query; temporal-grounding; object-grounding,egocentric-video; text
EgoThinker,model,2025-10,NeurIPS 2025,watch,,2025,https://arxiv.org/abs/2510.23569,https://arxiv.org/abs/2510.23569,,,Egocentric reasoning model with spatio-temporal chain-of-thought supervision and reinforcement fine-tuning for first-person video understanding,egocentric-video-reasoning; grounded-cot; video-qa,egocentric-video; text
Walk through Paintings,model,2026-01,arXiv,watch,,2026,https://arxiv.org/abs/2601.15284,https://arxiv.org/abs/2601.15284,,,"Egocentric world models built from internet priors, generating first-person walkthroughs of static scenes such as paintings",world-modeling; video-generation; scene-understanding,egocentric-video
Temporal-Aware Ego VLM,model,2026-03,arXiv,watch,,2026,https://arxiv.org/abs/2603.27184,https://arxiv.org/abs/2603.27184,,,"Training scheme that incentivizes temporal awareness in egocentric video-understanding models, improving order- and timing-sensitive reasoning",temporal-reasoning; video-language; representation-learning,egocentric-video; text
EgoMotion,model,2026-04,arXiv,watch,,2026,https://arxiv.org/abs/2604.19105,https://arxiv.org/abs/2604.19105,,,Hierarchical reasoning plus diffusion framework for egocentric vision-language motion generation from first-person context,motion; motion-estimation; video-language,egocentric-video; motion; text
Gaze-SoM HOI Anticipation,model,2026-04,arXiv,watch,,2026,https://arxiv.org/abs/2604.03667,https://arxiv.org/abs/2604.03667,,,Leverages gaze and set-of-mark prompting in vision-language LLMs for hand-object-interaction anticipation from egocentric video,anticipation; hand-object; gaze-reasoning,egocentric-video; gaze; text
Sanpo-D,benchmark,2026-01,arXiv,watch,,2026,https://arxiv.org/abs/2601.18100,https://arxiv.org/abs/2601.18100,,,"Fine-grained re-annotation of the Sanpo egocentric navigation data with spatial signals, benchmarking spatial-conditioned reasoning of VLMs over long first-person videos",spatial-reasoning; navigation; video-qa,egocentric-video; qa
EgoSurgery,dataset,2024,MICCAI 2024,open,,2024,https://github.com/Fujiry0/EgoSurgery,https://arxiv.org/abs/2503.18755,https://github.com/Fujiry0/EgoSurgery,,Egocentric open-surgery video dataset family: EgoSurgery-Phase for surgical phase recognition and EgoSurgery-HTS for pixel-wise hand-tool segmentation of 14 surgical tools (MICCAI 2024),action-recognition; hand-object-segmentation; procedural-task-assistance,egocentric-video; segmentation; object-boxes
EgoEMS,dataset,2025-11,AAAI 2026,watch,,2025,https://arxiv.org/abs/2511.09894,https://arxiv.org/abs/2511.09894,,,"High-fidelity multimodal egocentric dataset for cognitive assistance in emergency medical services, capturing time-critical team actions in high-stakes scenarios",procedural-task-assistance; action-recognition; real-time-understanding,egocentric-video; audio; multimodal-annotations
LEMMA,dataset,2020-07,ECCV 2020,open,,2020,https://arxiv.org/abs/2007.15781,https://arxiv.org/abs/2007.15781,,,"Multi-view multi-agent multi-task daily-activity dataset across 14 kitchens and living rooms, densely annotated with atomic actions and human-object interactions (ECCV 2020)",compositional; action-recognition; anticipation,egocentric-video; third-person-video; multimodal-annotations
EgoMe,dataset,2025-01,arXiv,watch,,2025,https://arxiv.org/abs/2501.19061,https://arxiv.org/abs/2501.19061,,,"Real-world dataset and challenge for following a demonstrator via egocentric view, pairing exocentric demonstrations with egocentric imitation across everyday tasks",imitation-learning; cross-view; action-understanding,egocentric-video; exocentric-video
ENIGMA-360,dataset,2026-03,arXiv,watch,,2026,https://arxiv.org/abs/2603.09741,https://arxiv.org/abs/2603.09741,,,Ego-exo dataset for human behavior understanding in industrial scenarios with 360-degree exocentric and egocentric capture,action-understanding; ego-exo; procedure,egocentric-video; exocentric-video; first-person-360-video
EgoIllusion,benchmark,2025-08,arXiv,watch,,2025,https://arxiv.org/abs/2508.12687,https://arxiv.org/abs/2508.12687,,,"Benchmark for hallucinations in egocentric video understanding, probing where multimodal models fabricate objects, actions, and sounds",evaluation; multimodal-reasoning; audio-visual-reasoning,egocentric-video; qa
EgoExo-Con,benchmark,2025-10,arXiv,watch,,2025,https://arxiv.org/abs/2510.26113,https://arxiv.org/abs/2510.26113,,,Synchronized ego-exo video pairs with human-refined queries for view-invariant temporal verification and grounding; introduces the View-GRPO training framework,cross-view; temporal-grounding; evaluation,egocentric-video; exocentric-video; qa
WearVQA,benchmark,2025-11,NeurIPS 2025,watch,,2025,https://arxiv.org/abs/2511.22154,https://arxiv.org/abs/2511.22154,,,"First wearable-device VQA benchmark for smart glasses: 2,520 image-question-answer triplets across 7 image domains and 10 cognitive task types under occluded, low-light, and blurry egocentric capture (NeurIPS 2025)",vqa; evaluation; wearable-sensing,egocentric-video; qa
WearVox,benchmark,2026-01,arXiv,watch,,2026,https://arxiv.org/abs/2601.02391,https://arxiv.org/abs/2601.02391,,,"Egocentric multichannel voice-assistant benchmark for wearables, evaluating spoken interaction grounded in first-person audio-visual context",audio-visual-reasoning; streaming-assistant; evaluation,egocentric-video; audio; speech
SuperGlasses,benchmark,2026-02,CVPR 2026 Findings,watch,,2026,https://arxiv.org/abs/2602.22683,https://arxiv.org/abs/2602.22683,,,Benchmark evaluating vision-language models as intelligent agents for AI smart glasses across realistic wearable assistant tasks,tool-using-agents; evaluation; task-assistance,egocentric-video; qa
PhysBrain,model,2025-12,arXiv,watch,,2025,https://arxiv.org/abs/2512.16793,https://arxiv.org/abs/2512.16793,,,Uses human egocentric data as a bridge to adapt vision-language models toward physical intelligence and embodied control,embodied-ai; representation-learning; robot-learning,egocentric-video; text
EgoCampus,dataset,2025-12,arXiv,watch,,2025,https://arxiv.org/abs/2512.07668,https://arxiv.org/abs/2512.07668,,,Egocentric pedestrian eye-gaze dataset and model over campus walking routes with synchronized first-person video and gaze,gaze; navigation; trajectory-prediction,egocentric-video; gaze; scene-labels
Egocentric Clinical Intent,benchmark,2026-01,arXiv,watch,,2026,https://arxiv.org/abs/2601.06750,https://arxiv.org/abs/2601.06750,,,Benchmark for egocentric clinical intent understanding by medical multimodal LLMs over first-person clinical procedure video,intent; procedural-task-assistance; evaluation,egocentric-video; qa
1M-HUGs / HUG,dataset,2026-06,arXiv,open,,2026,https://grasping.io/,https://arxiv.org/abs/2606.17054,,,"Egocentric human-grasp dataset with 1M frames (27.8 hours), 6,707 object instances across 41 buildings, plus HUG-Bench with 90 unseen objects for zero-shot grasping",robot-learning; dexterous-manipulation; hand-object; manipulation,egocentric-video; rgbd; hand-pose; object-meshes
EgoKit,toolkit,2026-05,arXiv,open,,2026,https://egokit.chuange.org/,https://arxiv.org/abs/2605.16797,,,"Unified low-cost egocentric recording workflow across Android, iPhone, iPad, smart-glasses, and XR hosts, with synchronized ego and wrist views plus OpenXR hand tracking where available",data-collection; robot-learning; wearable-sensing; tooling,egocentric-video; wrist-camera-video; head-pose; hand-pose
MobileEgo Anywhere,toolkit,2026-05,arXiv,watch,,2026,https://arxiv.org/abs/2605.05945,https://arxiv.org/abs/2605.05945,,,"Commodity-phone infrastructure for hour-plus egocentric trajectories; releases STERA processing, a mobile recording app, and a reported 200-hour / 584-session long-form dataset",data-collection; robot-learning; vla; long-horizon-memory,egocentric-video; trajectory; action-labels
UCS-Bench / DirectMe,benchmark,2026-06,ICML 2026,open,,2026,https://github.com/cocowy1/UCS-Bench,https://arxiv.org/abs/2606.15200,https://github.com/cocowy1/UCS-Bench,,170+ hours of egocentric observations with 8.1K+ timestamped questions for user-centric continual spatial intelligence; DirectMe maintains streaming spatial memory,spatial-reasoning; episodic-memory; long-context; streaming-memory; qa,egocentric-video; qa; trajectory
StreamMemBench,benchmark,2026-06,arXiv,watch,,2026,https://arxiv.org/abs/2606.14571,https://arxiv.org/abs/2606.14571,,,"Streaming benchmark over EgoLife egocentric streams, pairing each evidence anchor with an initial task and a future follow-up to test recall, feedback incorporation, and reuse",streaming-memory; memory-assistance; evaluation; egocentric-vqa,egocentric-video; qa; dialogue
